# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
ground.txt
questionbrick.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	33	1200

# BRICKS
1	529	1055
1	0	164

1	0	180
1	16	180
1	32	180
1	48	180
1	64	180
1	80	180
1	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180
1	352	180

1	352	148
1	352	164

#QUESTION BRICK
7	528	1056
7	576	1056
7	672	912
7	720	912
7	1248	960
7	1968	1152
7	2112	1056
7	4272	384
7	4368	1104
#COIN
4	3216	960
4	3312	864
4	3408	768
4	3504	672
4	3600	576

#Goomba
2	1000	1124

#Platform
#5	0	1248	48	48	39	61000	62000	63000
#5	1872	1200	48	48	29	64000	65000	66000
#5	1872	1248	48	48	29	67000	68000	69000
#5	3456	1248	48	48	21	61000	62000	63000
#5	4560	1248	48	48	5	61000	62000	63000
#5	4944	1248	48	48	36	61000	62000	63000
#5	6720	1248	48	48	36	61000	62000	63000

#5	4656	1200	48	48	3	71000	71000	71000
#5	4704	1152	48	48	2	71000	71000	71000
#5	4752	1104	48	48	1	71000	71000	71000
#5	4464	1008	48	48	2	71000	71000	71000
#5	6720	1104	48	48	2	71000	71000	71000
#5	6720	962	48	48	2	71000	71000	71000

#Portal 
50	300	120	316	160	2
[MAP]
#id	.tmx	r	g	b	prefix
80000	map/worldmap1-1/world-1-1-map.tmx	255	255	255	map/worldmap1-1/

